event_title,category,department,target_year,capacity,location,date,time,event_tags,success_rate,actual_success_rate,actual_attendees,actual_engagement,actual_sentiment
Art Exhibition,Cultural,Management,1,220,Main Hall,2024-10-15,12:00,"art, exhibition",93.0,,,,
Statistics Lecture,Academic,Science,2,85,Seminar Room,2024-07-25,13:30,"statistics, lecture",71.0,,,,
Table Tennis Match,Sports,Mechanical,1,120,Open Ground,2024-11-20,15:00,"sports, table tennis",80.0,,,,
Marketing Workshop,Professional,Management,3,170,Seminar Room,2024-09-10,14:00,"marketing, workshop",77.0,,,,
Blockchain Workshop,Technology,Computer,4,130,Auditorium,2024-10-08,13:00,"blockchain, workshop",81.0,,,,
Drama Competition,Cultural,Civil,2,150,Main Hall,2024-11-05,18:30,"drama, competition",88.0,,,,
Biology Seminar,Academic,Science,1,75,Seminar Room,2024-08-15,10:00,"biology, seminar",69.0,,,,
Swimming Competition,Sports,Electrical,3,180,Open Ground,2024-09-20,14:00,"sports, swimming",84.0,,,,
HR Conference,Professional,Management,4,200,Main Hall,2024-12-10,09:30,"hr, conference",82.0,,,,
Cloud Computing Workshop,Technology,Computer,2,160,Auditorium,2024-07-29,14:30,"cloud, workshop",83.0,,,,
Photography Contest,Cultural,Management,1,190,Main Hall,2024-10-05,16:00,"photography, contest",90.0,,,,
Economics Debate,Academic,Science,3,110,Seminar Room,2024-11-12,11:00,"economics, debate",76.0,,,,
Chess Tournament,Sports,Mechanical,2,100,Open Ground,2024-08-28,13:00,"sports, chess",79.0,,,,
Entrepreneurship Talk,Professional,Management,4,140,Seminar Room,2024-09-30,15:00,"entrepreneurship, talk",81.0,,,,
Data Analytics Bootcamp,Technology,Computer,3,170,Auditorium,2024-10-22,10:00,"data, analytics, bootcamp",85.0,,,,
Singing Competition,Cultural,Civil,1,240,Main Hall,2024-12-15,19:30,"singing, competition",94.0,,,,
Astronomy Lecture,Academic,Science,2,90,Seminar Room,2024-08-12,14:00,"astronomy, lecture",72.0,,,,
Tennis Championship,Sports,Electrical,3,200,Open Ground,2024-10-14,16:00,"sports, tennis",86.0,,,,
Investment Seminar,Professional,Management,4,150,Seminar Room,2024-11-25,14:30,"investment, seminar",78.0,,,,
UI/UX Workshop,Technology,Computer,2,120,Auditorium,2024-09-08,11:00,"ui, ux, workshop",80.0,,,,
Fashion Show,Cultural,Management,1,300,Main Hall,2024-12-20,18:00,"fashion, show",96.0,,,,
Geology Workshop,Academic,Science,3,95,Seminar Room,2024-07-31,13:00,"geology, workshop",73.0,,,,
Hockey Match,Sports,Mechanical,2,220,Open Ground,2024-11-18,15:30,"sports, hockey",84.0,,,,
Public Speaking Event,Professional,Management,4,180,Main Hall,2024-10-28,10:00,"public speaking, event",83.0,,,,
AR/VR Demo,Technology,Computer,3,140,Auditorium,2024-08-22,14:00,"ar, vr, demo",82.0,,,,
Painting Exhibition,Cultural,Civil,1,210,Main Hall,2024-09-14,12:00,"painting, exhibition",91.0,,,,
Psychology Seminar,Academic,Science,2,85,Seminar Room,2024-10-07,11:30,"psychology, seminar",74.0,,,,
Athletics Meet,Sports,Electrical,3,250,Open Ground,2024-12-03,09:00,"sports, athletics",88.0,,,,
Business Analytics Workshop,Professional,Management,4,160,Seminar Room,2024-11-30,13:00,"business, analytics, workshop",80.0,,,,
Ethical Hacking Workshop,Technology,Computer,2,150,Auditorium,2024-08-18,15:00,"ethical hacking, workshop",84.0,,,,
Literary Fest,Cultural,Management,1,280,Main Hall,2024-12-18,17:00,"literary, fest",93.0,,,,
Environmental Science Talk,Academic,Science,3,100,Seminar Room,2024-09-22,10:00,"environmental, science",75.0,,,,
Kabaddi Tournament,Sports,Mechanical,2,180,Open Ground,2024-11-10,16:30,"sports, kabaddi",82.0,,,,
Sales Training,Professional,Management,4,130,Seminar Room,2024-10-20,14:00,"sales, training",77.0,,,,
Mobile App Development Workshop,Technology,Computer,3,190,Auditorium,2024-12-05,10:30,"mobile, app, workshop",86.0,,,,
Stand-up Comedy Night,Cultural,Civil,1,200,Main Hall,2024-11-22,19:00,"comedy, stand-up",89.0,,,,
Mathematics Workshop,Academic,Science,2,110,Seminar Room,2024-08-26,13:00,"mathematics, workshop",76.0,,,,
Basketball League,Sports,Electrical,3,230,Open Ground,2024-10-17,15:00,"sports, basketball",87.0,,,,
Product Management Seminar,Professional,Management,4,170,Main Hall,2024-09-28,11:00,"product management, seminar",81.0,,,,
Game Development Workshop,Technology,Computer,2,140,Auditorium,2024-07-24,14:00,"game, development, workshop",83.0,,,,
Pottery Workshop,Cultural,Management,1,160,Main Hall,2024-10-10,16:00,"pottery, workshop",88.0,,,,
Chemistry Seminar,Academic,Science,3,90,Seminar Room,2024-11-14,10:30,"chemistry, seminar",72.0,,,,
Cricket League,Sports,Mechanical,2,270,Open Ground,2024-12-07,14:00,"sports, cricket",89.0,,,,
Digital Marketing Workshop,Professional,Management,4,150,Seminar Room,2024-09-17,13:00,"digital marketing, workshop",79.0,,,,
AI Ethics Discussion,Technology,Computer,3,120,Auditorium,2024-08-30,15:00,"ai, ethics",80.0,,,,
Classical Music Night,Cultural,Civil,1,240,Main Hall,2024-12-14,18:30,"music, classical",94.0,,,,
Physics Olympiad,Academic,Science,2,95,Seminar Room,2024-10-03,11:00,"physics, olympiad",73.0,,,,
Volleyball League,Sports,Electrical,3,200,Open Ground,2024-11-28,16:00,"sports, volleyball",85.0,,,,
Supply Chain Seminar,Professional,Management,4,180,Main Hall,2024-09-25,10:00,"supply chain, seminar",82.0,,,,
Big Data Workshop,Technology,Computer,2,170,Auditorium,2024-07-27,14:00,"big data, workshop",84.0,,,,
Sculpture Exhibition,Cultural,Management,1,190,Main Hall,2024-10-24,12:00,"sculpture, exhibition",90.0,,,,
Zoology Seminar,Academic,Science,3,80,Seminar Room,2024-12-01,10:00,"zoology, seminar",71.0,,,,
Badminton League,Sports,Mechanical,2,150,Open Ground,2024-08-23,15:30,"sports, badminton",81.0,,,,
Retail Management Workshop,Professional,Management,4,140,Seminar Room,2024-11-17,14:00,"retail, management, workshop",78.0,,,,
DevOps Workshop,Technology,Computer,3,160,Auditorium,2024-10-19,11:00,"devops, workshop",85.0,,,,
Folk Dance Competition,Cultural,Civil,1,220,Main Hall,2024-12-21,17:00,"dance, folk, competition",92.0,,,,
Botany Workshop,Academic,Science,2,100,Seminar Room,2024-09-07,13:30,"botany, workshop",74.0,,,,
Table Tennis League,Sports,Electrical,3,130,Open Ground,2024-11-05,16:00,"sports, table tennis",83.0,,,,
Corporate Law Seminar,Professional,Management,4,200,Main Hall,2024-10-12,09:00,"corporate law, seminar",80.0,,,,
Embedded Systems Workshop,Technology,Computer,2,150,Auditorium,2024-08-14,14:00,"embedded systems, workshop",82.0,,,,
Short Film Festival,Cultural,Management,1,260,Main Hall,2024-12-10,19:00,"film, festival",95.0,,,,
Microbiology Seminar,Academic,Science,3,85,Seminar Room,2024-11-09,10:30,"microbiology, seminar",72.0,,,,
Football League,Sports,Mechanical,2,280,Open Ground,2024-09-30,15:00,"sports, football",88.0,,,,
Operations Management Workshop,Professional,Management,4,170,Seminar Room,2024-10-27,13:00,"operations, management, workshop",81.0,,,,
Quantum Computing Talk,Technology,Computer,3,130,Auditorium,2024-12-03,15:00,"quantum computing, talk",83.0,,,,
Jazz Concert,Cultural,Civil,1,210,Main Hall,2024-11-26,18:30,"music, jazz",91.0,,,,
Genetics Seminar,Academic,Science,2,90,Seminar Room,2024-08-19,11:00,"genetics, seminar",73.0,,,,
Hockey League,Sports,Electrical,3,240,Open Ground,2024-10-26,14:00,"sports, hockey",86.0,,,,
Financial Planning Seminar,Professional,Management,4,160,Main Hall,2024-09-21,10:00,"financial planning, seminar",79.0,,,,
5G Technology Workshop,Technology,Computer,2,180,Auditorium,2024-07-31,14:00,"5g, workshop",84.0,,,,
Calligraphy Workshop,Cultural,Management,1,140,Main Hall,2024-12-07,16:00,"calligraphy, workshop",87.0,,,,
Neuroscience Talk,Academic,Science,3,95,Seminar Room,2024-11-16,13:00,"neuroscience, talk",75.0,,,,
Kabaddi League,Sports,Mechanical,2,200,Open Ground,2024-10-09,16:30,"sports, kabaddi",82.0,,,,
Brand Management Workshop,Professional,Management,4,150,Seminar Room,2024-09-14,14:00,"brand management, workshop",80.0,,,,
Augmented Reality Workshop,Technology,Computer,3,170,Auditorium,2024-12-12,11:00,"ar, workshop",85.0,,,,
Rock Band Performance,Cultural,Civil,1,230,Main Hall,2024-11-30,19:30,"music, rock",93.0,,,,
Paleontology Seminar,Academic,Science,2,80,Seminar Room,2024-08-28,10:00,"paleontology, seminar",71.0,,,,
Swimming League,Sports,Electrical,3,190,Open Ground,2024-09-27,14:00,"sports, swimming",84.0,,,,
Customer Service Training,Professional,Management,4,140,Seminar Room,2024-10-31,13:00,"customer service, training",77.0,,,,
Natural Language Processing Workshop,Technology,Computer,2,160,Auditorium,2024-11-07,15:00,"nlp, workshop",83.0,,,,
Origami Workshop,Cultural,Management,1,120,Main Hall,2024-12-19,16:00,"origami, workshop",86.0,,,,
Meteorology Seminar,Academic,Science,3,100,Seminar Room,2024-09-19,11:30,"meteorology, seminar",74.0,,,,
Tennis League,Sports,Mechanical,2,210,Open Ground,2024-11-21,15:00,"sports, tennis",87.0,,,,
Social Media Marketing Workshop,Professional,Management,4,180,Main Hall,2024-10-04,10:00,"social media, marketing, workshop",82.0,,,,
Computer Vision Workshop,Technology,Computer,3,150,Auditorium,2024-12-14,14:00,"computer vision, workshop",84.0,,,,
Indian Classical Dance,Cultural,Civil,1,250,Main Hall,2024-11-14,18:00,"dance, classical",94.0,,,,
Oceanography Seminar,Academic,Science,2,85,Seminar Room,2024-08-21,13:00,"oceanography, seminar",72.0,,,,
Cricket Championship,Sports,Electrical,3,260,Open Ground,2024-12-06,14:00,"sports, cricket",89.0,,,,
Project Management Certification,Professional,Management,4,190,Seminar Room,2024-09-26,09:30,"project management, certification",83.0,,,,
Edge Computing Workshop,Technology,Computer,2,140,Auditorium,2024-10-16,15:00,"edge computing, workshop",81.0,,,,
Western Music Night,Cultural,Management,1,220,Main Hall,2024-12-22,19:00,"music, western",92.0,,,,
Biotechnology Seminar,Academic,Science,3,90,Seminar Room,2024-11-28,10:30,"biotechnology, seminar",75.0,,,,
Basketball Tournament,Sports,Mechanical,2,230,Open Ground,2024-10-23,16:00,"sports, basketball",86.0,,,,
E-commerce Workshop,Professional,Management,4,160,Main Hall,2024-09-13,14:00,"e-commerce, workshop",80.0,,,,
Autonomous Vehicles Talk,Technology,Computer,3,170,Auditorium,2024-12-16,11:00,"autonomous vehicles, talk",84.0,,,,
Karaoke Night,Cultural,Civil,1,200,Main Hall,2024-11-19,18:30,"karaoke, music",89.0,,,,
Astrophysics Seminar,Academic,Science,2,95,Seminar Room,2024-08-29,14:00,"astrophysics, seminar",73.0,,,,
Volleyball Championship,Sports,Electrical,3,240,Open Ground,2024-12-13,15:00,"sports, volleyball",88.0,,,,
Human Resources Workshop,Professional,Management,4,150,Seminar Room,2024-10-11,13:00,"hr, workshop",79.0,,,,
Smart Cities Workshop,Technology,Computer,2,180,Auditorium,2024-09-06,15:00,"smart cities, workshop",83.0,,,,
Magic Show,Cultural,Management,1,210,Main Hall,2024-12-23,17:00,"magic, show",90.0,,,,
Nanotechnology Seminar,Academic,Science,3,100,Seminar Room,2024-11-13,11:00,"nanotechnology, seminar",76.0,,,,
Football Tournament,Sports,Mechanical,2,270,Open Ground,2024-10-21,14:00,"sports, football",87.0,,,,
Negotiation Skills Workshop,Professional,Management,4,170,Main Hall,2024-09-20,10:00,"negotiation, workshop",81.0,,,,
6G Technology Discussion,Technology,Computer,3,160,Auditorium,2024-12-17,14:00,"6g, discussion",82.0,,,,
Comic Book Workshop,Cultural,Civil,1,130,Main Hall,2024-11-27,16:00,"comic, workshop",85.0,,,,
Archaeology Seminar,Academic,Science,2,80,Seminar Room,2024-08-31,10:30,"archaeology, seminar",71.0,,,,
Badminton Championship,Sports,Electrical,3,200,Open Ground,2024-12-09,16:00,"sports, badminton",84.0,,,,
Business Communication Workshop,Professional,Management,4,140,Seminar Room,2024-10-29,13:00,"business communication, workshop",78.0,,,,
Drone Technology Workshop,Technology,Computer,2,150,Auditorium,2024-09-29,15:00,"drones, workshop",83.0,,,,
Salsa Dance Workshop,Cultural,Management,1,180,Main Hall,2024-12-24,18:00,"dance, salsa",91.0,,,,
Geophysics Seminar,Academic,Science,3,90,Seminar Room,2024-11-23,11:30,"geophysics, seminar",74.0,,,,
Table Tennis Championship,Sports,Mechanical,2,160,Open Ground,2024-10-13,15:30,"sports, table tennis",82.0,,,,
Time Management Workshop,Professional,Management,4,190,Main Hall,2024-09-16,09:00,"time management, workshop",80.0,,,,
Robotics Expo,Cultural,Science,4,247,Auditorium,2024-09-11,10:30,"music, culture",88.0,,,,
Environmental Quiz,Academic,Computer,1,364,Seminar Room,2024-11-12,11:00,"chemistry, math",99.0,,,,
Open Mic Night,Sports,Science,3,158,Seminar Room,2024-10-28,11:00,"football, badminton",83.0,,,,
Chess Tournament,Cultural,Civil,2,121,Auditorium,2024-07-08,09:00,"fashion, music",39.0,,,,
Resume Review,Professional,Management,4,186,Open Ground,2024-11-10,10:30,"career, resume",98.0,,,,
Environmental Quiz,Sports,Science,2,282,Seminar Room,2024-11-29,12:00,"sports, badminton",39.0,,,,
Alumni Meet,Sports,Civil,3,149,Virtual,2024-10-31,16:00,"basketball, badminton",39.0,,,,
Cricket Match,Academic,Computer,1,214,Virtual,2024-07-30,13:30,"physics, chemistry",78.0,,,,
Dance Battle,Technology,Civil,4,191,Auditorium,2024-09-06,10:30,"data, cloud",87.0,,,,
Elevator Pitch,Sports,Mechanical,4,374,Main Hall,2024-10-25,10:30,"sports, basketball",85.0,,,,
Hackathon,Professional,Mechanical,3,233,Virtual,2024-12-19,11:00,"career, startup",58.0,,,,
Volleyball League,Cultural,Management,4,370,Open Ground,2024-08-07,15:00,"drama, dance",48.0,,,,
AI Workshop,Sports,Civil,2,299,Virtual,2024-08-20,13:30,"football, sports",37.0,,,,
Biology Fair,Technology,Civil,1,72,Virtual,2024-07-16,17:00,"ml, ai",95.0,,,,
Chem Lab Safety,Sports,Civil,2,227,Virtual,2024-11-16,11:00,"football, basketball",70.0,,,,
Chess Tournament,Sports,Science,4,159,Main Hall,2024-11-20,19:00,"badminton, sports",78.0,,,,
Volleyball League,Technology,Electrical,2,343,Seminar Room,2024-12-21,18:30,"ml, web",67.0,,,,
Art & Craft,Cultural,Mechanical,1,141,Auditorium,2024-10-19,15:00,"fashion, dance",33.0,,,,
Math Olympiad,Sports,Civil,3,288,Auditorium,2024-10-09,15:00,"badminton, sports",62.0,,,,
Festive Gala,Cultural,Electrical,3,137,Seminar Room,2024-11-23,12:00,"fashion, culture",75.0,,,,
Product Management,Professional,Civil,1,328,Virtual,2024-09-21,15:00,"resume, linkedin",72.0,,,,
Resume Review,Cultural,Computer,4,385,Open Ground,2024-11-13,14:00,"music, culture",53.0,,,,
Cultural Night,Academic,Civil,4,352,Virtual,2024-10-06,19:00,"english, physics",31.0,,,,
Football Tournament,Sports,Mechanical,2,273,Open Ground,2024-11-02,18:30,"football, basketball",30.0,,,,
Festive Gala,Professional,Electrical,4,139,Seminar Room,2024-07-23,18:30,"networking, career",31.0,,,,
Volleyball League,Cultural,Civil,1,261,Open Ground,2024-07-25,17:00,"music, dance",77.0,,,,
Alumni Meet,Technology,Management,4,317,Seminar Room,2024-07-17,14:00,"ai, web",41.0,,,,
Chem Lab Safety,Professional,Mechanical,3,382,Main Hall,2024-09-19,09:00,"networking, linkedin",46.0,,,,
Marathon,Academic,Management,3,117,Main Hall,2024-08-15,16:00,"math, quiz",54.0,,,,
Startup Bootcamp,Professional,Science,2,213,Seminar Room,2024-09-12,18:30,"networking, career",69.0,,,,
Volleyball League,Professional,Electrical,2,301,Open Ground,2024-09-16,12:00,"networking, startup",71.0,,,,
Street Play,Technology,Mechanical,4,345,Virtual,2024-09-27,09:00,"cloud, data",79.0,,,,
Biology Fair,Professional,Civil,2,322,Auditorium,2024-08-29,14:00,"networking, career",39.0,,,,
Street Dance Show,Sports,Electrical,4,105,Main Hall,2024-07-09,16:00,"football, cricket",95.0,,,,
Street Dance Show,Academic,Management,2,294,Seminar Room,2024-12-29,15:00,"math, english",77.0,,,,
Startup Bootcamp,Sports,Computer,4,221,Seminar Room,2024-12-26,13:30,"sports, football",97.0,,,,
Cricket Match,Cultural,Computer,2,278,Main Hall,2024-08-28,13:30,"dance, drama",85.0,,,,
Marathon,Sports,Science,2,200,Auditorium,2024-11-25,14:00,"basketball, sports",42.0,,,,
Street Dance Show,Professional,Computer,1,197,Seminar Room,2024-10-09,09:00,"networking, career",94.0,,,,
Art & Craft,Professional,Civil,3,340,Open Ground,2024-08-03,17:00,"networking, resume",85.0,,,,
Ethical Hacking Workshop,Cultural,Mechanical,3,233,Main Hall,2024-08-02,09:00,"music, dance",97.0,,,,
Internship Panel,Sports,Science,3,227,Main Hall,2024-10-30,19:00,"football, badminton",70.0,,,,
Ethical Hacking Workshop,Cultural,Science,3,223,Main Hall,2024-08-01,16:00,"music, fashion",92.0,,,,
Alumni Meet,Technology,Civil,2,284,Auditorium,2024-09-20,14:00,"ai, data",77.0,,,,
Cybersecurity 101,Professional,Management,3,72,Virtual,2024-12-18,19:00,"linkedin, startup",81.0,,,,
Cultural Night,Sports,Management,1,308,Open Ground,2024-08-07,11:00,"basketball, badminton",97.0,,,,
Football Tournament,Professional,Computer,1,212,Auditorium,2024-08-14,10:30,"linkedin, networking",69.0,,,,
Street Play,Cultural,Computer,4,111,Seminar Room,2024-07-29,15:00,"drama, dance",66.0,,,,
Street Play,Sports,Civil,3,257,Main Hall,2024-10-23,13:30,"badminton, football",49.0,,,,
Math Olympiad,Professional,Science,1,180,Open Ground,2024-07-11,16:00,"linkedin, startup",32.0,,,,
Cultural Fest,Technology,Electrical,1,187,Open Ground,2024-07-26,17:00,"code, web",89.0,,,,
Drama Night,Academic,Science,3,97,Seminar Room,2024-09-25,16:00,"quiz, chemistry",67.0,,,,
Math Olympiad,Cultural,Science,3,240,Auditorium,2024-07-05,15:00,"drama, dance",43.0,,,,
Science Fair,Professional,Civil,4,68,Virtual,2024-12-15,15:00,"linkedin, resume",56.0,,,,
Tug of War,Sports,Civil,1,347,Open Ground,2024-11-25,17:00,"sports, football",61.0,,,,
Open Mic Night,Professional,Mechanical,1,297,Open Ground,2024-11-17,18:30,"startup, linkedin",61.0,,,,
English Debate,Academic,Electrical,3,315,Virtual,2024-09-16,11:00,"science, quiz",44.0,,,,
Career Fair,Technology,Computer,4,209,Virtual,2024-08-22,13:30,"web, cloud",94.0,,,,
Dance Battle,Technology,Civil,2,252,Main Hall,2024-10-10,13:30,"ml, ai",37.0,,,,
Tug of War,Sports,Computer,3,172,Open Ground,2024-11-10,17:00,"football, basketball",34.0,,,,
Volleyball League,Technology,Computer,2,244,Open Ground,2024-07-17,10:30,"ai, web",69.0,,,,
Chem Lab Safety,Cultural,Computer,1,112,Open Ground,2024-08-25,17:00,"music, fashion",73.0,,,,
Festive Gala,Sports,Computer,4,303,Seminar Room,2024-10-29,11:00,"sports, basketball",54.0,,,,
Environmental Quiz,Academic,Computer,2,147,Main Hall,2024-10-13,12:00,"science, physics",53.0,,,,
Open Mic Night,Technology,Computer,3,300,Virtual,2024-12-20,16:00,"web, tech",43.0,,,,
Cultural Night,Cultural,Computer,3,189,Virtual,2024-11-11,09:00,"dance, music",70.0,,,,
Data Science Panel,Technology,Science,4,267,Auditorium,2024-08-20,12:00,"cloud, code",77.0,,,,
Chess Tournament,Cultural,Computer,4,218,Virtual,2024-12-23,19:00,"music, culture",52.0,,,,
Industry Talk,Technology,Mechanical,3,374,Main Hall,2024-11-01,09:00,"web, data",36.0,,,,
Science Fair,Academic,Management,4,58,Open Ground,2024-11-11,10:30,"science, physics",45.0,,,,
Robotics Expo,Academic,Civil,4,146,Open Ground,2024-09-09,11:00,"english, science",38.0,,,,
English Debate,Sports,Management,2,212,Seminar Room,2024-11-11,10:30,"sports, badminton",38.0,,,,
LinkedIn Mastery,Academic,Management,3,104,Open Ground,2024-11-20,17:00,"english, science",90.0,,,,
Resume Review,Academic,Computer,2,229,Virtual,2024-10-26,15:00,"science, math",68.0,,,,
Volleyball League,Professional,Electrical,3,129,Open Ground,2024-08-23,17:00,"startup, linkedin",70.0,,,,
Tech Talk,Professional,Computer,4,287,Open Ground,2024-08-14,12:00,"startup, career",62.0,,,,
Math Olympiad,Technology,Management,3,147,Main Hall,2024-08-22,11:00,"tech, code",96.0,,,,
Blockchain Basics,Technology,Science,4,238,Main Hall,2024-08-30,13:30,"ml, cloud",76.0,,,,
Football Tournament,Academic,Civil,1,355,Seminar Room,2024-11-11,17:00,"math, quiz",80.0,,,,
AI Workshop,Technology,Mechanical,4,377,Main Hall,2024-10-18,15:00,"code, tech",82.0,,,,
Science Fair,Technology,Mechanical,1,184,Virtual,2024-08-29,19:00,"data, code",40.0,,,,
Open Mic Night,Academic,Management,1,260,Main Hall,2024-09-08,16:00,"quiz, math",43.0,,,,
Volleyball League,Academic,Science,2,134,Main Hall,2024-12-26,15:00,"quiz, science",32.0,,,,
Cloud Computing 101,Academic,Science,2,231,Virtual,2024-09-17,15:00,"math, chemistry",67.0,,,,
Alumni Meet,Academic,Civil,4,238,Seminar Room,2024-12-20,15:00,"science, english",41.0,,,,
Science Quiz,Cultural,Civil,3,394,Seminar Room,2024-11-18,10:30,"music, culture",52.0,,,,
Ethical Hacking Workshop,Cultural,Mechanical,3,214,Open Ground,2024-09-04,09:00,"music, culture",49.0,,,,
Internship Panel,Cultural,Civil,1,304,Open Ground,2024-09-10,10:30,"culture, music",89.0,,,,
Marathon,Technology,Electrical,3,360,Seminar Room,2024-07-07,15:00,"cloud, ml",75.0,,,,
Internship Panel,Professional,Electrical,2,219,Open Ground,2024-09-08,14:00,"networking, career",64.0,,,,
English Debate,Technology,Management,4,226,Virtual,2024-10-15,17:00,"ml, tech",31.0,,,,
Machine Learning Talk,Sports,Science,4,378,Virtual,2024-12-25,15:00,"football, basketball",88.0,,,,
Environmental Quiz,Cultural,Computer,2,246,Seminar Room,2024-09-17,12:00,"culture, fashion",63.0,,,,
Street Play,Sports,Mechanical,3,225,Main Hall,2024-10-22,11:00,"sports, football",74.0,,,,
Physics Olympiad,Sports,Electrical,2,211,Open Ground,2024-07-27,12:00,"cricket, basketball",62.0,,,,
Resume Review,Professional,Civil,2,351,Main Hall,2024-08-16,10:30,"career, linkedin",35.0,,,,
Dance Battle,Technology,Science,2,239,Seminar Room,2024-08-02,19:00,"code, ai",77.0,,,,
Product Management,Academic,Management,4,221,Seminar Room,2024-12-13,18:30,"science, chemistry",96.0,,,,
Physics Olympiad,Cultural,Management,1,260,Open Ground,2024-10-25,19:00,"music, fashion",45.0,,,,
Basketball League,Academic,Management,3,109,Auditorium,2024-10-14,16:00,"physics, math",36.0,,,,
Startup Bootcamp,Professional,Mechanical,1,221,Open Ground,2024-08-11,14:00,"linkedin, career",58.0,,,,
Startup Stories,Technology,Management,2,92,Virtual,2024-08-17,17:00,"cloud, tech",63.0,,,,
Marathon,Professional,Computer,2,242,Seminar Room,2024-08-08,15:00,"startup, career",34.0,,,,
Industry Talk,Cultural,Science,1,225,Open Ground,2024-12-26,12:00,"music, dance",82.0,,,,
Cultural Fest,Sports,Science,1,164,Virtual,2024-10-03,11:00,"football, badminton",89.0,,,,
Startup Bootcamp,Sports,Civil,4,392,Auditorium,2024-11-13,17:00,"football, cricket",60.0,,,,
Football Tournament,Sports,Science,4,116,Virtual,2024-11-13,18:30,"sports, badminton",53.0,,,,
Resume Workshop,Cultural,Mechanical,4,317,Auditorium,2024-07-19,11:00,"culture, drama",33.0,,,,
LinkedIn Mastery,Cultural,Electrical,2,355,Virtual,2024-09-02,17:00,"culture, drama",52.0,,,,
Product Management,Technology,Computer,2,196,Seminar Room,2024-12-05,15:00,"cloud, code",48.0,,,,
Machine Learning Talk,Academic,Management,1,214,Virtual,2024-08-27,19:00,"math, physics",92.0,,,,
AI Workshop,Professional,Electrical,4,164,Auditorium,2024-08-08,19:00,"linkedin, networking",43.0,,,,
Alumni Meet,Sports,Management,1,340,Auditorium,2024-07-08,10:30,"sports, basketball",53.0,,,,
Cricket Match,Academic,Management,4,189,Open Ground,2024-12-07,12:00,"science, physics",48.0,,,,
Cricket Match,Technology,Electrical,1,302,Auditorium,2024-08-15,09:00,"tech, data",57.0,,,,
Street Play,Academic,Civil,1,182,Auditorium,2024-10-15,11:00,"quiz, science",81.0,,,,
LinkedIn Mastery,Cultural,Electrical,3,331,Main Hall,2024-11-13,16:00,"music, dance",55.0,,,,
Python Bootcamp,Academic,Computer,4,76,Auditorium,2024-09-13,16:00,"english, physics",49.0,,,,
Career Fair,Academic,Management,1,138,Virtual,2024-08-21,10:30,"science, chemistry",65.0,,,,
Environmental Quiz,Professional,Management,2,388,Auditorium,2024-08-14,13:30,"resume, startup",85.0,,,,
Music Jam,Academic,Civil,3,388,Auditorium,2024-10-01,15:00,"math, english",96.0,,,,
Cybersecurity 101,Technology,Mechanical,4,228,Auditorium,2024-09-13,10:30,"cloud, ml",62.0,,,,
Volleyball League,Technology,Electrical,3,243,Virtual,2024-09-04,13:30,"ai, code",86.0,,,,
Civil Model Making,Academic,Mechanical,1,104,Main Hall,2024-09-10,10:30,"science, chemistry",34.0,,,,
Science Quiz,Academic,Science,1,363,Open Ground,2024-07-17,09:00,"english, math",53.0,,,,
Django Workshop,Academic,Science,4,310,Seminar Room,2024-12-28,13:30,"quiz, physics",81.0,,,,
Cultural Night,Sports,Management,4,142,Open Ground,2024-11-21,19:00,"badminton, football",44.0,,,,
Startup Stories,Academic,Civil,3,236,Main Hall,2024-12-01,17:00,"science, english",79.0,,,,
Cloud Computing 101,Cultural,Computer,2,380,Virtual,2024-09-01,15:00,"dance, music",48.0,,,,
Festive Gala,Cultural,Electrical,1,388,Seminar Room,2024-07-23,12:00,"dance, drama",43.0,,,,
Cultural Fest,Sports,Civil,2,80,Seminar Room,2024-11-02,10:30,"sports, badminton",61.0,,,,
Badminton Championship,Sports,Computer,2,162,Auditorium,2024-08-24,14:00,"basketball, football",99.0,,,,
Tech Talk,Cultural,Civil,1,117,Auditorium,2024-07-07,11:00,"fashion, drama",47.0,,,,
Tech Talk,Professional,Electrical,2,350,Virtual,2024-07-20,12:00,"career, startup",35.0,,,,
Product Management,Academic,Science,1,385,Open Ground,2024-10-13,14:00,"english, physics",79.0,,,,
Art & Craft,Cultural,Mechanical,2,392,Virtual,2024-11-09,12:00,"music, culture",51.0,,,,
Django Workshop,Sports,Mechanical,3,91,Virtual,2024-07-01,11:00,"badminton, cricket",96.0,,,,
Web Dev Basics,Professional,Science,2,106,Main Hall,2024-10-26,16:00,"startup, resume",79.0,,,,
Basketball League,Professional,Science,2,159,Virtual,2024-11-23,18:30,"linkedin, career",55.0,,,,
AI Workshop,Academic,Computer,1,257,Main Hall,2024-08-25,12:00,"quiz, chemistry",89.0,,,,
Resume Review,Professional,Electrical,1,243,Virtual,2024-07-19,13:30,"linkedin, resume",49.0,,,,
Open Mic Night,Academic,Science,3,316,Open Ground,2024-07-03,09:00,"english, math",93.0,,,,
Cultural Night,Professional,Electrical,2,371,Auditorium,2024-09-26,18:30,"career, resume",95.0,,,,
Django Workshop,Cultural,Computer,3,292,Virtual,2024-10-13,17:00,"culture, dance",65.0,,,,
Python Bootcamp,Sports,Mechanical,1,273,Virtual,2024-07-09,13:30,"badminton, football",53.0,,,,
Cultural Fest,Sports,Electrical,4,172,Auditorium,2024-12-06,09:00,"badminton, football",56.0,,,,
Career Fair,Technology,Management,3,212,Main Hall,2024-12-07,11:00,"tech, ml",92.0,,,,
